Reporting Week,Sail Year,Sail Month,F Pol Dep Time Id,L Pod Arr Time Id,Primary Svvd Close Date,Cgo Trade Cde,Cgo Trade Lane Cde,Shipment DIR,BPM Sales Region,BPM Sales Ofce Cde,BPM Local Region,Orig Ofce Cde,Primary Svvd Id,F Base Pol Svvd,L Base Pod Svvd,F Pol Svvd,L Pod Svvd,Trckg Grp Ref Cde,Bl Ref Cde,Sc Num,AGMT NUM,Agreement Creator,Agreement Approver,TEU,Freight Revenue,Orig City Nme,Orig State,Orig Country Nme,Dest City Nme,Dest State,Dest Country Nme,F Pol Nme,L Pod Nme,F Base Pol Nme,L Base Pod Nme,Cntr Type,Cgo Nature Cde,Sales Rep Code,Sales Name,SCTD IND,Freight  Revenue Type,Shipper Cde,Shipper Nme,Consign Cde,Consign Nme,Forward Cde,Forward Name,Ctrct Ctrl Pty Cde,Ctrct Ctrl Pty Name,BOUND,Contrib1,Contrib2,Contrib3,Net Freight,Cust ID,Cust Main Name,SOC IND,Intra river Ind,Trade Division,Booking Party Code,Booking Party Name,Dest Region,Booking Office,Account Scale,BCO_NVO,Industry,FOB IND,CNTR TYPE GRP,Region GRP Main Nme,GBL Grp Main Nme,BPM Sales Country,F_POL_DEP_TIME_ID,INLAND_CGO_ID,SC_COMMODITY_GROUP,C3 Adjustment,Dest Office,Commodity Group,品名,Primary SVVD Season Type
201701,2017,1,20170101,20160105,20170101,ICT,ICT,S,B.XMN,FOC,B.XMN,FOC,IC9RIP281S,IC9RIP281S,IC9RIP281S,IC9RIP281S,IC60W1G127N,5048721320,5048721320,,FOC09325001v1,chenzhi1,lizhh,2,320.33,Fuzhou,Fujian,China,Hongwan(Xiangzhou),Guangdong,China,Fuzhou New Port,Zhuhai,Fuzhou New Port,Nansha,40HQ,GC,EW0,Zhang ZhiQin,0,>-5% and <=0%,7207182000,Fujian Transmode International Forwarder Corporation Limited,7456603000,Zhuhai Shengtong Transport Co. Ltd,7207182000,Fujian Transmode International Forwarder Corporation Limited,7207182000,Fujian Transmode International Forwarder Corporation Limited,OB,104.47,6.23,-31.14,229.33,7207182,Fujian Transmode International Forwarder Corporation Limited,0,0,PAN-ICT,7207182000,Fujian Transmode International Forwarder Corporation Limited,B.China(S),FOC,,NVO,,0,GP_Group,,,China,20170101,1,,278.22,ZUH,,#N/A,
201701,2017,1,20170101,20160105,20170101,ICT,ICT,S,B.XMN,ZZU,B.XMN,ZZU,IC9RZD145S,IC9RZD145S,IC9RZD145S,IC9RZD145S,IC60W1G127N,5048774561,5048774561,,ZZU01171051v2,huanghz,lizhh,1,314.81,Lindun(Changtai),Fujian,China,Zhuhai,Guangdong,China,Zhangzhou,Zhuhai,Zhangzhou,Nansha,20GP,GC,EU8,Yuan Zhilong,0,>-5% and <=0%,7254560000,Xiamen Xing Sheng Yuan Logistics Company Limited,6401327000,Zhuhaishi Hengxing Guoji Huoyun Daili Youxian Gongsi,7254560000,Xiamen Xing Sheng Yuan Logistics Company Limited,7254560000,Xiamen Xing Sheng Yuan Logistics Company Limited,OB,73.78,40.34,20.12,171.27,7254560,Xiamen Xing Sheng Yuan Logistics Company Limited,0,0,PAN-ICT,7254560000,Xiamen Xing Sheng Yuan Logistics Company Limited,B.China(S),ZZU,,NVO,,0,GP_Group,,,China,20170101,1,,28.77,ZUH,,#N/A,
201701,2017,1,20170101,20160105,20170101,ICT,ICT,S,B.XMN,ZZU,B.XMN,ZZU,IC9RZD145S,IC9RZD145S,IC9RZD145S,IC9RZD145S,IC60W1G127N,5048774930,5048774930,,ZZU01073176v2,huanghz,lizhh,1,265.16,Zhangzhou,Fujian,China,Qianshan(Zhuhai),Guangdong,China,Zhangzhou,Zhuhai,Zhangzhou,Nansha,20GP,GC,W36,Ye Junzhong,0,>-5% and <=0%,7156078000,Xiamen Jintongxing International Logistics Company Limited,7133270000,"COSCO South-China International Freight CO.,LTD.",7156078000,Xiamen Jintongxing International Logistics Company Limited,7156078000,Xiamen Jintongxing International Logistics Company Limited,OB,78.56,45.12,24.89,169.77,7156078,Xiamen Jintongxing International Logistics Company Limited,0,0,PAN-ICT,7156078000,Xiamen Jintongxing International Logistics Company Limited,B.China(S),ZZU,,NVO,,0,GP_Group,,,China,20170101,1,,108.79,ZUH,,#N/A,
201701,2017,1,20170101,20160105,20170101,ICT,ICT,S,B.XMN,ZZU,B.XMN,ZZU,IC9RZD145S,IC9RZD145S,IC9RZD145S,IC9RZD145S,IC60W1G127N,5048775570,5048775570,,ZZU01171051v2,huanghz,lizhh,1,204.46,Zhangzhou,Fujian,China,Hongwan(Xiangzhou),Guangdong,China,Zhangzhou,Zhuhai,Zhangzhou,Nansha,20GP,GC,EU8,Yuan Zhilong,0,>-5% and <=0%,7254560000,Xiamen Xing Sheng Yuan Logistics Company Limited,6401327000,Zhuhaishi Hengxing Guoji Huoyun Daili Youxian Gongsi,7254560000,Xiamen Xing Sheng Yuan Logistics Company Limited,7254560000,Xiamen Xing Sheng Yuan Logistics Company Limited,OB,75.93,42.49,22.26,159.46,7254560,Xiamen Xing Sheng Yuan Logistics Company Limited,0,0,PAN-ICT,7254560000,Xiamen Xing Sheng Yuan Logistics Company Limited,B.China(S),ZZU,,NVO,,0,GP_Group,,,China,20170101,1,,26.58,ZUH,,#N/A,
201701,2017,1,20170101,20161211,20170101,ICT,ICT,S,B.DLC,YIK,B.DLC,YIK,IC5RRM042S,IC5RRM042S,IC5RRM042S,IC5RRM042S,CB26YYL072W,5050113170,5050113170,,YIK03519226v1,zhaiyb,link,1,929.36,Yingkou,Liaoning,China,Huainan,Anhui,China,Yingkou,Hefei,Yingkou,Shanghai,20GP,GC,GT0,Wang Lie,0,>-5% and <=0%,7470146000,Shanghai Yijia Logistics Limited Company,1041751000,Cosco Anhui International Freight Company Limited,7470146000,Shanghai Yijia Logistics Limited Company,7470146000,Shanghai Yijia Logistics Limited Company,OB,345.73,325.94,291.05,520.72,7470146,Shanghai Yijia Logistics Limited Company,0,0,PAN-ICT,7470146000,Shanghai Yijia Logistics Limited Company,B.SHA,YIK,GKA,NVO,,0,GP_Group,,,China,20170101,1,,291.05,HFE,,#N/A,PEAK
201701,2017,1,20170101,20161223,20170101,IAT,IAA,N,C.Asia(SE),JKT,B.IDN,JKT,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,7140653320,7140653320,,JKT08604005v1,triagha,petcui,2,340,Jakarta,Jakarta Raya,Indonesia,Port Klang,Selangor,Malaysia,Jakarta,Port kelang,Jakarta,Port kelang,20GP,DG,P30,Winily Leo,0,>-5% and <=0%,7384248000,Transworld GLS Indonesia,7208859000,Transworld Gls Sdn Bhd,7384248000,Transworld GLS Indonesia,7384248000,Transworld GLS Indonesia,IB,27.22,27.22,27.22,340,7384248,Transworld GLS Indonesia,1,0,COSCON S.E.A,7384248000,Transworld GLS Indonesia,B.MYS,JKT,,,,0,DG_Group,,,Indonesia,20170101,0,,25.94,KUL,OTH,其他,
201701,2017,1,20170101,20161223,20170101,IAT,IAA,N,C.Asia(SE),JKT,B.IDN,JKT,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,7140653380,7140653380,,JKT11043001v2,claraag,petcui,14,2380,Jakarta,Jakarta Raya,Indonesia,Port Klang,Selangor,Malaysia,Jakarta,Port kelang,Jakarta,Port kelang,20GP,GC,P30,Winily Leo,0,>-5% and <=0%,7614258000,EQUATOR MARINDO,6875048000,United Arab Shipping Agency Co (M) Sdn Bhd,7614258000,EQUATOR MARINDO,7614258000,EQUATOR MARINDO,IB,190.54,190.54,190.54,2380,7614258,EQUATOR MARINDO,1,0,COSCON S.E.A,7614258000,EQUATOR MARINDO,B.MYS,JKT,,,,0,GP_Group,,,Indonesia,20170101,0,,181.58,KUL,,#N/A,
201701,2017,1,20170101,20161223,20170101,IAT,IAA,N,C.Asia(SE),JKT,B.IDN,JKT,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,7140653380,7140653380,,JKT11043001v2,claraag,petcui,12,1920,Jakarta,Jakarta Raya,Indonesia,Port Klang,Selangor,Malaysia,Jakarta,Port kelang,Jakarta,Port kelang,40GP,GC,P30,Winily Leo,0,>15%,7614258000,EQUATOR MARINDO,6875048000,United Arab Shipping Agency Co (M) Sdn Bhd,7614258000,EQUATOR MARINDO,7614258000,EQUATOR MARINDO,IB,681.84,681.84,681.84,1920,7614258,EQUATOR MARINDO,1,0,COSCON S.E.A,7614258000,EQUATOR MARINDO,B.MYS,JKT,,,,0,GP_Group,,,Indonesia,20170101,0,,674.16,KUL,,#N/A,
201701,2017,1,20170101,20161223,20170101,IAT,IAA,N,C.Asia(SE),JKT,B.IDN,JKT,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,7140653380,7140653380,,JKT11043001v2,claraag,petcui,30,4800,Jakarta,Jakarta Raya,Indonesia,Port Klang,Selangor,Malaysia,Jakarta,Port kelang,Jakarta,Port kelang,40HQ,GC,P30,Winily Leo,0,>10% and <=15%,7614258000,EQUATOR MARINDO,6875048000,United Arab Shipping Agency Co (M) Sdn Bhd,7614258000,EQUATOR MARINDO,7614258000,EQUATOR MARINDO,IB,1735.05,1735.05,1735.05,4800,7614258,EQUATOR MARINDO,1,0,COSCON S.E.A,7614258000,EQUATOR MARINDO,B.MYS,JKT,,,,0,GP_Group,,,Indonesia,20170101,0,,1715.85,KUL,,#N/A,
201701,2017,1,20170101,20161223,20170101,IAT,IAA,N,C.Asia(SE),JKT,B.IDN,JKT,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,GMIR2H021N,7140653400,7140653400,,JKT08604003v2,triagha,petcui,12,2040,Jakarta,Jakarta Raya,Indonesia,Port Klang,Selangor,Malaysia,Jakarta,Port kelang,Jakarta,Port kelang,20GP,GC,P30,Winily Leo,0,>-5% and <=0%,7384248000,Transworld GLS Indonesia,7208859000,Transworld Gls Sdn Bhd,7384248000,Transworld GLS Indonesia,7384248000,Transworld GLS Indonesia,IB,163.32,163.32,163.32,2040,7384248,Transworld GLS Indonesia,1,0,COSCON S.E.A,7384248000,Transworld GLS Indonesia,B.MYS,JKT,,,,0,GP_Group,,,Indonesia,20170101,0,,155.64,KUL,,#N/A,
